uid,bike_number,start_time,end_time,rental_place,return_place,duration,lat_start,lon_start,lat_end,lon_end,distance
173799875,602475,2023-03-25 00:33:16,2023-03-25 00:39:40,Krzycka / Aleja Karkonoska (Park Południowy),Wałbrzyska - pętla tramwajowa,7,51.074992,17.007058,51.065777,16.988575,1.652054252689009
173799538,603317,2023-03-25 00:25:32,2023-03-25 00:40:44,Kazimierza Wielkiego (Helios),al. Armii Krajowej / Borowska,16,51.110342,17.02601,51.08361,17.03523,3.04326498699515
173799391,603459,2023-03-25 00:22:34,2023-03-25 00:41:15,pl. Orląt Lwowskich,al. Armii Krajowej / Tarnogajska,19,51.10823,17.02138,51.083551,17.060519,3.8801371051149816
173800014,603428,2023-03-25 00:36:18,2023-03-25 00:41:20,Komandorska / Kamienna,Kamienna / Borowska (Aquapark),6,51.09009,17.0235,51.088908,17.034051,0.750834474925593
173800271,602920,2023-03-25 00:42:19,2023-03-25 00:43:24,Traugutta / Pułaskiego,Traugutta / Pułaskiego,2,51.104571,17.048102,51.104571,17.048102,0.0
173799518,602170,2023-03-25 00:25:09,2023-03-25 00:43:30,Powstańcow Śląskich / Aleja Hallera,al. Armii Krajowej / Borowska,19,51.086689,17.01248,51.08361,17.03523,1.630459806994752
173799876,603153,2023-03-25 00:33:16,2023-03-25 00:43:39,Fosa Miejska,Plac Powstańców Śląskich,11,51.104163,17.031115,51.091457,17.017405,1.708931724262506
173799527,602717,2023-03-25 00:25:19,2023-03-25 00:43:44,Powstańcow Śląskich / Aleja Hallera,al. Armii Krajowej / Borowska,19,51.086689,17.01248,51.08361,17.03523,1.630459806994752
173800343,603639,2023-03-25 00:43:40,2023-03-25 00:44:02,Szewska / Kazimierza Wielkiego,Szewska / Kazimierza Wielkiego,1,51.107471,17.033335,51.107471,17.033335,0.0
173800040,602995,2023-03-25 00:36:52,2023-03-25 00:45:07,al. Armii Krajowej / Borowska,Bardzka / Piękna,9,51.08361,17.03523,51.085034,17.04932,0.9999205981498277
173799660,602010,2023-03-25 00:28:10,2023-03-25 00:45:26,Rynek,Kołłątaja / Podwale,18,51.109782,17.030175,51.103854,17.03678,0.805555275331569
173800220,602556,2023-03-25 00:41:12,2023-03-25 00:45:37,Obornicka / Bałtycka,Obornicka / Bałtycka,5,51.136786,17.030368,51.136786,17.030368,0.0
173799688,603370,2023-03-25 00:28:48,2023-03-25 00:45:44,Plac Jana Pawła II (Akademia Muzyczna),Grabiszyńska / Aleja Hallera,17,51.111489,17.020981,51.094413,16.980911,3.389078194984466
173799381,604340,2023-03-25 00:22:19,2023-03-25 00:46:29,Szewska / Kazimierza Wielkiego,Tarnogajska / Klimasa,25,51.107471,17.033335,51.08015,17.06228,3.653791790312854
173800070,602468,2023-03-25 00:37:35,2023-03-25 00:46:32,Legnicka / Młodych Techników,Legnicka (Park Magnolia),9,51.113141,17.012175,51.121059,16.993088,1.6006722192275387
173800044,602783,2023-03-25 00:36:56,2023-03-25 00:46:39,Piłsudskiego 13 od Jump Hall,Zaporoska / Grabiszyńska,10,51.1052,17.02123,51.102117,17.013683,0.630124535556491
173799676,603111,2023-03-25 00:28:29,2023-03-25 00:47:04,Nowowiejska / Jedności Narodowej,Sienkiewicza / Piastowska,19,51.124879,17.045844,51.115564,17.060704,1.4684788534805548
173799457,602011,2023-03-25 00:23:53,2023-03-25 00:48:45,Poza stacją,Bacciarellego / pętla autobusowa,25,,,51.10224,17.11645,
173800304,603317,2023-03-25 00:42:53,2023-03-25 00:48:50,al. Armii Krajowej / Borowska,Piławska,6,51.08361,17.03523,51.07236,17.04294,1.3632108873438518
173800115,602377,2023-03-25 00:38:46,2023-03-25 00:51:11,Piaskowa / św. Ducha,Nowowiejska / Wyszyńskiego,13,51.11289,17.03971,51.122424,17.052013,1.366422833719975
173799857,602583,2023-03-25 00:32:48,2023-03-25 00:51:16,Grota-Roweckiego / Parafialna,Krzycka / Aleja Karkonoska (Park Południowy),19,51.06277,17.0321,51.074992,17.007058,2.220313772305872
173799862,603440,2023-03-25 00:32:57,2023-03-25 00:51:20,Grota-Roweckiego / Parafialna,Krzycka / Aleja Karkonoska (Park Południowy),19,51.06277,17.0321,51.074992,17.007058,2.220313772305872
173800412,603110,2023-03-25 00:45:15,2023-03-25 00:51:57,Powstańcow Śląskich / Aleja Hallera,Aleja Hallera / Mielecka,7,51.086689,17.01248,51.089315,17.001501,0.8228484909143315
173799845,602270,2023-03-25 00:32:35,2023-03-25 00:51:58,Grota-Roweckiego / Parafialna,Krzycka / Aleja Karkonoska (Park Południowy),20,51.06277,17.0321,51.074992,17.007058,2.220313772305872
173797936,602110,2023-03-24 23:54:34,2023-03-25 00:52:14,Fosa Miejska,Poniatowskiego / Oleśnicka,58,51.104163,17.031115,51.121308,17.043077,2.083223342108933
173800244,603616,2023-03-25 00:41:42,2023-03-25 00:52:21,Traugutta / Pułaskiego,Krakowska / Leroy Merlin,11,51.104571,17.048102,51.09053,17.06373,1.907488731577187
173800458,603173,2023-03-25 00:46:24,2023-03-25 00:53:10,Obornicka / Bałtycka,Obornicka / Bałtycka,7,51.136786,17.030368,51.136786,17.030368,0.0
173800733,602556,2023-03-25 00:53:08,2023-03-25 00:53:29,Obornicka / Bałtycka,Obornicka / Bałtycka,1,51.136786,17.030368,51.136786,17.030368,0.0
173800337,603192,2023-03-25 00:43:34,2023-03-25 00:54:13,Poza stacją,Kazimierza Wielkiego (Helios),11,,,51.110342,17.02601,
173800513,602619,2023-03-25 00:48:00,2023-03-25 00:54:39,Sienkiewicza / Piastowska,al. Kochanowskiego / Kopernika,7,51.115564,17.060704,51.11514,17.07436,0.9574032832405364
173800659,603430,2023-03-25 00:51:29,2023-03-25 00:55:19,Zaporoska / Gajowicka,Szczęśliwa (Sky Tower),4,51.097209,17.013967,51.094521,17.020876,0.5689260843904025
173800652,603084,2023-03-25 00:51:21,2023-03-25 00:55:21,Zaporoska / Gajowicka,Szczęśliwa (Sky Tower),4,51.097209,17.013967,51.094521,17.020876,0.5689260843904025
173800265,602607,2023-03-25 00:42:10,2023-03-25 00:55:51,Legnicka (Park Magnolia),Piłsudskiego 13 od Jump Hall,14,51.121059,16.993088,51.1052,17.02123,2.64508354178922
173800543,603453,2023-03-25 00:48:39,2023-03-25 00:56:09,Grabiszyńska / Stalowa,Gajowicka,8,51.099354,17.000697,51.085656,17.00453,1.5473817959810183
173800429,602217,2023-03-25 00:45:38,2023-03-25 00:56:36,Zaporoska / Grabiszyńska,Grabiszyńska / Aleja Hallera,11,51.102117,17.013683,51.094413,16.980911,2.4504296376082326
173800691,603210,2023-03-25 00:52:09,2023-03-25 00:57:03,Szczęśliwa (Sky Tower),Krucza / Mielecka / Stalowa,5,51.094521,17.020876,51.093426,17.002893,1.265689108629849
173800430,603390,2023-03-25 00:45:38,2023-03-25 00:57:06,Kamienna / Tomaszowska,Bardzka (cmentarz),12,51.087764,17.039318,51.07217,17.05281,1.9757434628831054
